title,artist,lyrics,emotion
Gol,Malt (TR),"Ben uyurken geçen günler Geri gelmeyecekler Fulltime yıllarıma rağmen Öç peşindeler Yönetici olabilirim aslında Yapamayan yönetir derler Ama tüm personel adaylarım Üst mevkilerde bir yerdeler Ben yedekteyim, onlar oynuyor Ben izlemekteyim, onlar atıyor Neden bilmem, hep böyle oluyor Sonuç aleyhime, uzatma yok, maç bitiyor Yıllarca ben koşup Çalıştım, çabaladım, didindim O bir vurdu Gol oldu Yıllarca ben koşup Çalıştım, çabaladım, didindim O bir vurdu Gol oldu Bana ıslak bir sopa verin Elle oynamayayım maç durmasın Topuğumu ağzına gömünce Lütfen faul olmasın Ben yedekteyim, onlar oynuyor Ben izlemekteyim, onlar atıyor Neden bilmem, hep böyle oluyor Sonuç aleyhime, uzatma yok, maç bitiyor Yıllarca ben koşup Çalıştım, çabaladım, didindim O bir vurdu Gol oldu Yıllarca ben koşup Çalıştım, çabaladım, didindim O bir vurdu Gol oldu Gol oldu Gol oldu Gol oldu (Goooool) Yıllarca ben koşup Çalıştım, çabaladım, didindim O bir vurdu Gol oldu Yıllarca ben koşup Çalıştım, çabaladım, didindim O bir vurdu Gol oldu Gool!",melankoli
Yetmiyor Yetemiyor,Bulutsuzluk zlemi,"Gittim o gün sinemaya, önermişlerdi bana Sakın kaçırma demişlerdi bu filmi Kız durmadan adama ""beni seviyor musun?"" Diye soru soruyordu, adam susuyordu Ondan sonra sokaklarda rastladım ona buna Bir kız gitar çalıyordu, oturmuş kaldırımda Selamlaştım bir adamla, o beni tanıyordu Şiir yazıp satıyordu şaircesine Yapabileceğim bi' şeyler olabilir miydi Gitar çalıp söylemekten başka? Yetmiyor, yetemiyor O çok mükemmel biriydi, kuytu bir liman isterdi Oysa benim limanımda fırtınalar kopardı Ona çiçek toplasaydım, her dakika arasaydım Dizinde otursaydım her şey güzel olurdu Birden bir gürültü duydum, izbe bir yere indim Sanki kıyamet kopuyor, rock'n'roll çalıyordu Saçlarım uzamıştı, berbere gitmemiştim Toz yutmuştum sahnesinde, hayatın esiriydim. * Yapabileceğim bi' şeyler olabilir miydi Gitar çalıp söylemekten başka? Yetmiyor, yetemiyor Öteye geçemedim, yasaklanmıştı şehir Düğün dernek, davetliler, toplanmış hediyeler Savaş çıkmasın derler meydanda aynı yüzler Başına gelmedikçe suskun mahsun memetler Bir yanda uçan dünya, bir yanda ortaçağ'da Sen ner'den bakıyorsun, takılmış gidiyorsun Medyada ninniler var, vatandaş böyle ister Sihirler kerametler, yuvarlanıp giderler Yapabileceğim bi' şeyler olabilir miydi Gitar çalıp söylemekten başka? Yetmiyor, yetemiyor",aşk
Bal Gibi Biliyorsun,Nalan,Sen aþk nedir bilmiyorsan Gönlüne sor söylesin Benim için çarpýyorsa kalbin benimlesin Ömür boyu bu hayatý paylaþalým seninle Diyemedin diyemedin sen gittin ellere Sensizlikten korkuyorum nerelerdesin sevgilim Sana hapsettim aþkýmý hayatýmý Bal gibi biliyorsun,aşk
Amenna,Ahmet Kaya,"[1. Bölüm] Yaşayanlar bir gün ölür Bir gün ölür elbette Yaşayanlar bir gün ölür Bir gün ölür elbette Ağaçlarla, balıklarla Kuşlarla ben amenna Ağaçlarla, balıklarla Kuşlarla ben amenna [2. Bölüm] Ağlayanlar bir gün güler Bir gün güler elbette Uyanmakla, anlamakla Bilmekle ben amenna Uyanmakla, anlamakla Bilmekle ben amenna [3. Bölüm] Kısa çöp uzun çöpten Hakkını alır elbette (hakkını alır elbette) Kısa çöp uzun çöpten Hakkını alır elbette (hakkını alır elbette) Direnmekle, kurtulmakla Barışla ben amenna Direnmekle, kurtulmakla Barışla ben amenna ",korku
Gülendam,Haluk Levent,"[1. Bölüm] Gözlerinden ötesini Göremem, göremem ben Sözlerinden ötesini Duyamam, duyamam ben [Ön-Nakarat] Gümüşyaka Köprüsü'nü Ezberledim türküsünü Ben sana hiç doyamadım Gençlik çağı geldi geçti Döneceksen dön gel artık Seni ben unutamadım Gümüşyaka Köprüsü'nü Ezberledim türküsünü Ben sana hiç doyamadım Gençlik çağı geldi geçti Döneceksen dön gel artık Seni ben unutamadım [Nakarat] Ah Gülendam, can Gülendam Derdim, dermanım Ölürüm ben aman Ah Gülendam, can Gülendam Derdim, dermanım Ölürüm ben aman [2. Bölüm] Saçlarından ötesini Tutamam, tutamam ben Ellerinden ötesini Saramam, saramam ben [Ön-Nakarat] Gümüşyaka Köprüsü'nü Ezberledim türküsünü Ben sana hiç doyamadım Gençlik çağı geldi geçti Döneceksen dön gel artık Seni ben unutamadım Gümüşyaka Köprüsü'nü Ezberledim türküsünü Ben sana hiç doyamadım Gençlik çağı geldi geçti Döneceksen dön gel artık Seni ben unutamadım [Nakarat] Ah Gülendam, can Gülendam Derdim, dermanım Ölürüm ben aman Ah Gülendam, can Gülendam Derdim, dermanım Ölürüm ben aman Ah Gülendam, can Gülendam Derdim, dermanım Ölürüm ben aman",korku
Yeter,Ahmet Kaya,"[1. Bölüm] Bilmediğim bir şey söyle bana Mutluluğu anlat mesela Bilmediğim bir şeyler söyle O çok duyduğum yalanlar olmasın Bilmediğim bir şarkı söyle Sözlerinde ayrılık olmasın [Nakarat] Yeter bu Dünya'nın cefası, derdi Yeter, boş yere kaç bahar tükendi? Yıllarca kendimi kahrettiğim yeti Gel bana, bilmedigim bir şeyler söyle Yıllarca dinlediğim aynı masallar yetti Gel bana, bilmedigim bir şeyler söyle Yıllarca kendimi kahrettiğim yetti Gel bana, bilmedigim bir şeyler söyle [2. Bölüm] Bilmediğim bir şey söyle bana Gülmeyi anlat mesela Bilmediğim bir şey söyle Ezbere bildiğim dertler olmasın Bilmediğim bir şarkı söyle Gözlerimde hüzün bırakmasın [Nakarat] Yeter bu Dünya'nın cefası, derdi Yeter, boş yere kaç bahar tükendi? Yıllarca kendimi kahrettiğim yeti Gel bana, bilmedigim bir şeyler söyle Yıllarca dinlediğim aynı masallar yetti Gel bana, bilmedigim bir şeyler söyle Yıllarca kendimi kahrettiğim yetti Gel bana, bilmedigim bir şeyler söyle [Outro] Yıllarca dinlediğim aynı masallar yetti Gel bana, bilmedigim bir şeyler söyle Yıllarca kendimi kahrettiğim yetti Gel bana, bilmedigim bir şeyler söyle ",üzgün
Sat Beni Bedavaya,Gkhan Tepe,Ben senle uzaklardan korkmam Ben sensiz yakınsızım avunamam Sen öyle güzelsin ki bitanem Varlığın yetmiyor yokluğun bitmiyor Yağ beni yağmurlara es beni rüzgarlara Görmüyor gözüm asktan Düşünme suyun örtülerini Bırak yüregim teninde aksın Kapat aralı perdelerini Geceyle günün gözü kalmasın,melankoli
Birazdan Kudurur Deniz,Ahmet Kaya,"[1. Bölüm] Birazdan kudurur deniz Birazdan dalgaların sırtından Üst-üste fışkıran rüzgarlar Bir intikam gibi saldırınca üstüne; Birazdan kudurur deniz Birazdan dalgaların sırtından Üst-üste fışkıran rüzgarlar Bir intikam gibi saldırınca üstüne; Yüzüne şarkılar çarpar Yüzüne şiirler çarpar, ağlarsın Yüzüne şarkılar çarpar Yüzüne şiirler çarpar, ağlarsın Sen artık, sen artık buralarda duramazsın! Sen artık, sen artık buralarda duramazsın! [Bridge] Artık sazın bağrı mı olur? Kimsenin bilmediği bir ağrı mı? Gider kendine gömülürsün Yoksa bu şehir, bu sokaklar Seni alır kullanır, seni alır kullanır Santim-santim çürürsün [2. Bölüm] Bazen bir uçurum kalır Bazen de martıların ardından Velvele koparan bir leş kalır Bir intihar gibi puşt olunca sevdalar Bazen bir uçurum kalır Bazen de martıların ardından Velvele koparan bir leş kalır Bir intihar gibi puşt olunca sevdalar Sırtını duvara yaslar Sırtını ağaca yaslar, susarsın Sırtını duvara yaslar Sırtını ağaca yaslar, susarsın Sen artık hiçbir sözü, hiçbir sözü kaldıramazsın Sen artık hiçbir sözü, hiçbir sözü kaldıramazsın [Outro] Şimdi bir yeni sevda mı olur Kimsenin kapını çalmadığı bir inziva mı? Tutar sıfırdan başlarsın Yoksa bu ilişkiler, bu zaaflar Seni yiyip bitirir, seni yiyip bitirir Dirhem-dirhem azalırsın ",üzgün
Yalvaramam,Candan Eretin,Çeksen gitsen günün birinde Geldiğin gibi sessizce Bıksan gitsen günün birinde Ne yaparım bilmiyorum Kalksan desen günün birinde Anlaşamadık biz seninle Gidiyorum desen günün birinde Kal diyemem sanmıyorum Ben seni deliler gibi sevsem de Sensiz nasıl yaşarım bilmesem de Acımdan her gün biraz daha ölsem de Sakın gitme dur diyemem istesem de Yalvaramam Sensiz yanarım Nefessiz kalırım Belki güneş doğmaz Hatta dünya durur Bu acıdan iflah olmam Ama sana yalvaramam,üzgün
Ala Gözlerini,Haramiler,"[""Ala Gözlerini"" için şarkı sözleri] [Bölüm 1] Ala gözlerini sevdiğim dilber Yar senin ahdına durmaz mı sandın? Ala gözlerini sevdiğim dilber Yar senin ahdına durmaz mı sandın? Hatırın hoş olsun birin bin olsun Senden alasını canım bulmaz mı sandın? Hatırın hoş olsun birin bin olsun Senden alasını canım bulmaz mı sandın? [Bölüm 2] Doğru gelenlere doğru varayım Halden bilenlere kurban olayım Doğru gelenlere doğru varayım Halden bilenlere kurban olayım Sen birini bulmuşsun ben de bulayım Güzeller dengini canım bulmaz mı sandın Sen birini bulmuşsun ben de bulayım Güzeller dengini canım bulmaz mı sandın [Bölüm 3] Karacaoğlan der ki böyle olmasın Arada engeller murad almasın Karacaoğlan der ki böyle olmasın Arada engeller murad almasın Sana senden olmuş benden olmasın Herkes ettiğini canım bulmaz mı sandın Sana senden olmuş benden olmasın Herkes ettiğini canım bulmaz mı sandın",aşk
Çektir Git,Mavi Sakal,Eğer beni sevmiyorsan Burdan bıktım diyorsan Bir kere denemiyorsan Al fotokopini çektir git Eğer eğlenmiyorsan Eğer bira içmiyorsan Ödevlerini yapıyorsan Yarınını düşünoyarsan Böyle alem olmaz Böyle mal bulunmaz Böyle adam olunmaz Böyle yol bulunmaz Yerlere tükürüyorsan Teşekkür etmiyorsan Ben ağlamam diyorsan Onu bunu şunu istiyorsan Eğer beni istemiyorsan Senden bıktım diyorsan Beni böyle kabul etmezsen Seni seviyorum demezsen Çekti çekti çek çektir git,umut
Dünya Dönüyor,Nilfer,Dünya dönüyor sen ne dersen de Yýllar geçiyor farketmesen de Deðiþmiþ gördüm bu defa seni Dertler yýpratmýþ o þen sesini Gülen gözlerin gülemez olmuþ Güzel yüzüne çizgiler dolmuþ Ne kadar oldu görüþmeyeli Eski yaralar depreþmeyeli Farkýnda mýydýn nasýl da sana Ben bir zamanlar boþver aldýrma Anladým ki biz eski biz deðiliz O günler geçmiþ biz bu gündeyiz Belki bu gece varmaz sabaha Oldu olacak doldur bir daha Sen ne dersen de Deðmez bu dünya Yýllar geçermiþ geçsin Ruhumuz genç ya,melankoli
Bugün Yardan Haber Geldi,Ruhi Su,"Bugün yardan haber geldi Bir bir yandan bir bir yandan Eðildim bir buse aldým Bir bir yandan, bir bir yandan Güzel olaný severler Yanaðýndan gül dererler Kulakta mengüþ küpeler Bir bir yandan, bir bir yandan Þekerden þerbet ezerler Ýnce tülbentten süzerler Dört yaným almýþ güzeller Bir bir yandan, bir bir yandan Karacoðlan gel yanýma Seni sarayým canýma Dola kollarýn boynuma Bir bir yandan, bir bir yandan",mutlu
Film Kopmuş,Gkhan Tepe,Bu günler çok sıkkınım Gerçi yarınım bilinmez Ne bekliyor beni Gezelim yalnız gecelerde mutluluk peşinde Ah nasıl olsa bulurum yeni bir aşk Ama kimseler beni senin gibi sevmezse Of Olmuyor vazgeçtim desem de Sensizlik geçmiyor unuttum demekle Yani aklımı raydan çıkardın Çıldırmak iş değil seninle Bu günler çok sıkkınım Gerçi yarınım bilinmez Ne bekliyor beni Gezelim yalnız gecelerde mutluluk peşinde Ah nasıl olsa bulurum yeni bir aşk Ama kimseler beni senin gibi sevmezse Of Olmuyor vazgeçtim desem de Sensizlik geçmiyor unuttum demekle Yani aklımı raydan çıkardın Çıldırmak iş değil seninle,mutlu
Rapsodi İstanbul,Teoman,Al tüm param bu dedim Boşver dedi sende kalsın Bir parça yeter ufak Kopar ver yiyeceğinden Etrafına bak onlardan olma sakın Yola koyul küçük küçük git buralardan Sokaklarda sapsarı yapraklar Mazgallarda yağmurlar Hangi kentte bu denli acı var Başka nerde istanbul kadar Git... Yapraklar yatağın olsun Kırlangıçlar arkadaşların Yıldızlar yorganın olsun Hem zaten gökte işsiz güçsüz duruyorlar Benden geçti ama sen yap Git buralardan Bitene kadar bitmez hayat Bitti mi de biter ama Iç tüm şaraplarını bu dünyanın Kay ıslak güvertelerinde Tüm güzel kadınların Sokaklarda sapsarı yapraklar Mazgallarda yağmurlar Hangi kentte bu denli acı var Başka nerde istanbul kadar Git... Yapraklar yatağın olsun Kırlangıçlar arkadaşların Büyük aşklar hep senin olsun Hem zaten boşuboşuna başkalarında duruyorlar,aşk
Ayrılık Günü,Gksel,"Kalbimde bir yaranin izi kaldi sevgilim Askimizda ellerin gozu kaldi sevgilim Gonlumun baharinda solmayan bir cicektin Yalanci şu dunyada sen her seyden gercektin Ayrılık, ayrılık günü bugün Ayrılık, ayrılık günü bugün Bugun ayrilik gunu, dokulsun gozyasimiz Fani dunyaya dondu gercek olan askimiz Sevilmeden sevilmez kuru agac egilmez Kalp allah yapisidir, kalbe asla egilmez Ayrılık, ayrılık günü bugün Ayrılık, ayrılık günü bugün",üzgün
Bambaşka Biri I Will Survive,Ajda Pekkan,Sardı korkular gelecek yıllar Düşündüm sensiz nasıl yaşanacaklar Gözlerimde canlanırken yaptığın haksızlıklar Güçlendim herşey bambaşka olacak Döndün bak geldin şimdi Bugünü aslında nasıl sabırla bekledimdi Seni yalvarırken görmek seni ağlatabilmek Geçmişi senden geri almak bütün ümidimdi Olmaz artık kapı açık Arkanı dön ve çık istenmiyorsun artık Bir zamanlar sen de bana acımadın Yalnız kaldım yıkılmadım ayaktayım Oh yaşadım yaşıyorum Başım yukarda meydan okuyorum hayata ve sana Gönlüm doluyor aşkla barıştım bak hayatla Başladım yaşamaya hey hey Şimdi gel de gör beni bambaşka biri Topladım dağılan kalbimin her köşesini Ardından ağlayan o zavallı kız nerede şimdi Gel gör beni Sevenlere vereceğim sevgimi herşeyimi Bugünü aslında nasıl sabırla bekledimdi Seni yalvarırken görmek seni ağlatabilmek Geçmişi senden geri almak bütün ümidimdi Olmaz artık kapı açık Arkanı dön ve çık istenmiyorsun artık Bir zamanlar sen de bana acımadın Yalnız kaldım yıkılmadım ayaktayım,üzgün
Yoluna Baş Koy,Pilli Bebek,Önünde bir ömür boşa mı geçsin? Gözünden bir rüya hep beklesin Cebinde bir umut gerçeği gizlesin Yarını olmayan gün geçmesin Küçük yolların kahramanı Büyük yolların şaklabanı Yoluna baş koy Yoluna baş koy Yoluna baş koy Geç kalmadan Zamanın tortusu yüzüne çökmüş Üretme kaygısı çoktan ölmüş Gözünde bir gülüş yalana dönmüş Soğuyan düşüncen şimdi sönmüş büyük yolların şaklabanı Yoluna baş koy Yoluna baş koy Yoluna baş koy Geç kalmadan,umut
Bazen,Nev,Hatýrlýyor musun kim olduðunu? Hala hissedebiliyor musun? Ne zamandýr farkýnda mýsýn yokluðunun? Arasan bulur musun kaybolduðun yerleri? Gündüzün geçtiðini farketmedin bile Anýlar sinemasýndan bir bilet almýþþýn bu gece Ömrün küsmek ve piþmanlýkla geçip gidiyor Hala ayný soruyu soruyorsun kendine Bazen kendi gölgene basar sendelersin ýssýz sokaklarda Bir karayel eser üþütür yalnýzlýðýný yüzüne vurur Çýkar gelir piþmanlýklar en zayýf anýnda boðazýnda yýllanýr bir düðüm Umurunda mý zamanýn senin küskünlüðün Ýçin öyle sýkýlýr kimse bilmez neyin var sen bile Olup bitenleri seyredersin öylece YALNIZSINDIR! Kalabalýklar içinde kim daha iyi bilir ki Bir ses vardýr çözer her þeyi yasaktýr duyamazsýn... bazen...,üzgün
Serseri,mor ve tesi,"[Bölüm 1] Uzağındaydım düşerken Nasıl bilirsen öyle ol Kâbusum oldun, çok oldun İyi ki yarına yoksun [Nakarat] Düşledim kayboldum, konuştum ziyan oldum Eskinin huzurunda el pençe divan durdum Ah, devrimim benim, nedir senden çektiğim Sen gelmedin ama ben değiştim [Bölüm 2] Hayat ne boş ne anlamsız Neye benzerdi reklamsız Ortağım oldun çok oldun İyi ki yarına yoksun [Nakarat] Düşledim kayboldum, konuştum ziyan oldum Eskinin huzurunda el pençe divan durdum Ah, devrimim benim, nedir senden çektiğim Sen gelmedin ama ben değiştim [Köprü] (Aldım, verdim, ben seni yendim) (Kaçtın, sattın, beş paraya sattın) (Aldım, verdim, ben seni yendim) (Kaçtın, sattın, beş paraya sattın) Aldım, verdim, ben seni yendim Kaçtın, sattın, beş paraya sattın Aldım, verdim, ben seni yendim Kaçtın, sattın, beş paraya sattın [Nakarat] Düşledim kayboldum, konuştum ziyan oldum Eskinin huzurunda el pençe divan durdum Ah, devrimim benim, nedir senden çektiğim Sen gelmedin ama ben değiştim [Outro] Ağla, ağla, geçer Ağla, ağla, geçer",öfke
Herşeye Değersin Como La Cigarra,Ajda Pekkan,"Alaca karanlıkta içine kapanmış Bir çiçek gibi solgun ve yalnız Akşamın türlenen ışıklarında Gözlerim bir yerlerde takılı kalmış Bütün ışıklar bir anda sönse Ve karanlıklar halime gülse Yine de içim aydınlık seninle Bilirim geç de olsa benimsin Bilirim belli etmez seversin Sen her zaman özlenmeye İnan sen herşeye değersin Bir yeniden doğuş sanki bir varoluş Seni anlamak, tanımak ve sevmek Zamanların ötesinde sonsuzlara varıp Seninle oralarda yaşayabilmek",korku
Ben Böyleyim,Candan Eretin,Üzgünüm acı sözlerim için Üzgünüm seni kırdığım için Haklısın bana darılsan bile Beni terketsen bile Ne yapayım ben böyleyim Üzgünüm bütün olanlar için Üzgünüm mutlu yıllarım için Aşkımız şüphesiz olmalıydı Lekesiz olmalıydı Affedemem ben böyleyim İster vur ister okşa İster tut ister yolla İster sev ister zorla Ben böyleyim,üzgün
Ona Sor,Tarkan,"Yar, yemin isteme, yemin etmem Yeminler tutulmaz ki Söz; o benimse Sözün emin elde Güvensiz tutulmaz ki Yağmura sor, çöle sor, dağlara sor Bir tek bana sorma O'na sor, O'na sor, O'na sor, O'na sor oofff... Yar, gücenme Gözün neden yerde Bu ceza taşımaz ki Ellerim neden böyle buz keser anla Suçlama, yakışmaz ki Yağmura sor, çöle sor, dağlara sor Bir tek bana sorma O'na sor, O'na sor, O'na sor, O'na sor oofff... Canım de, geçti de İstersen bitsin de Hak verme asla, hiç güvenme Haksızsam affetme Hak verme asla, hiç affetme Haksızsan hak alma dur",aşk
Adı Intikamdı,Mustafa Sandal,Güvenmedi bana Ne yaptıysam ne ettiysem Pek bildiğim yoktu aslında Sabredip de gittiysem Hani gönül fikirden büyük ya bazen Sığmaz ki açım sayfalara Yazıpta cizsem Belki bi yarası vardı Kim olursa olsun Adı intikamdı Benden çok önce Belki unutmak içindi Çabuk geçer sandı Canımı yaktı Belki bir yarası vardı Kim olursa olsun Adı intikamdı da niye Böyle sevip yeterken Kararıp içimden bir yıldız kaydı Bildiğim kadarıyla Şimdi yalnız ve pişman Anlatıyorlar halini bana Onu içimden tam silerken,üzgün
Belki,Demir Demirkan,Gizlice buluştuk seninle Bilmedi bilmedi kimse Gizlice ayrıldık seninle Duymadı duymadı kimse Bilinmez nerde nasıl Başka yerlerde buluruz birbirimizi Aynı zamanlarda Belki bir başka yüzde Belki bir başka seste Seni yaşarım Belki bir başka tende Belki bir eski şarkı Belki de hoş bir koku esintide Hatırlarım seni bir başka yerde,aşk
Yar Gittin,Baha,Unuttuðun herþeyi al götür durma Sevdam acýyor artýk vurma Býrak ellerimi ellerini tutmaz ki Sen beni sevsen de yüreðin unutmaz ki Yar gitin gittin ellere Dönsen de kar etmez dünlere Acýlarým aldý seni benden Dokunma kanayan sevgime Aþkýn yüreðimde saklý duruyor Onu da alma benden yüreðim acýyor Býrak ellerimi ellerini tutamaz ki Sen beni sevsen de yüreðin unutmaz ki,aşk
Kış Şarkısı,Nil Karaibrahimgil,Bugün hava sıfırın altında on seni düşündüm ama inan bu son mesela Sen hiç kardan adam yaptın mı? Basılmamış kara bastın mı? Ve üzülmek için çaldın mı bir kış şarkısı? Bugün moralim sıfırın altında on Seni özledim ama bence bu son Mesela sen hiç buza basıpkaydın mı? Eldivenle atkı aldın mı Ve üzülmek için çaldı mı bir kış şarkısı? Ve üzülmek için çaldı mı bir kış şarkısı?,melankoli
Hiçbir Şey Yerini Tutamaz,Yksek Sadakat,"Bende senden başka bir ben yok ki Seni düşünmek namaz Hiçbir şey yerini tutamaz Nefes kadar yeni, günah kadar eski Alıp götürecek seni İçinde bekleyen gemi Gitme Rüyamda bir balıkla tanıştım Onunla senden benden Göç etmekten konuştum Biraz garip şimdi bakınca Hayvanlar konuşamaz İnsanlar duymadıkça Gitme, bu yüzden gitme Sen gidersen çöl gelir Çekirgeler beni alır Gitme ne olur gitme Bende senden başka bir ben yok ki Seni düşünmek namaz",aşk
Katil  Maktül,Yksek Sadakat,"Tek bir oyun, sonra kalkıp gidersin Sen her zaman risk almayı seversin Ben inerken en dibe ağır ağır Sen ilk gördüğüm günden bile güzelsin Oyunun adı aşk, kan ve gül Sen katilsin bense maktül Çek hançerini Son kez öp ve beni öldür",mutlu
Beni de Un Idee,Ajda Pekkan,Beni de düşünceler alır birden Korkutur hep gelecekten Ve hergün yeniden yaşadığım sevginden Uzun sürmez hemen geçer yeşerir içimde sevgiler Anlıyorum bugün dünden daha güzel Beni de bir garip yalnızlık sarar Yanımdadır hatıralar Ağlamak istemesem de titrer dudaklarım Çıkarım sokaklara karışırım insanlara Yeniden yaşamaya başlarım Mantığım duygularım birbiriyle savaşır Bilmem ki en sonunda kim kazanır Günü gününe uymayan Aradığını bulamayan Her zaman kaybeden ben miyim yoksa,üzgün
Falan Filan,Redd,"Yormadan yorulamdan Kimseye dokunmadan Duymadan konusmadan Kendi dünyamda yasarım ben Dilim acıtır konusursam Sehrim uymaz boşluğuna Elim gitmez sevmezsem Kelepçe takmam Boşu busuna Manzaraya daldım Ses çıkarma Gerçek can sıkar Beni uyandırma Ben böyle güzelim Falan filan Ben burda güzelim Falan filan Kırmadan kırılmadan Kimseye aldırmadan Duymadan konusmadan Kendi dünyamda yasarım ben Dilim acıtır konusursam Fikrim uymaz yanlışına Üzer seni söylersem Hiç takılma Boşu boşuna Manzaraya daldım Ses çıkarma Gercek can sıkar Beni uyandırma Ben böyle güzelim Falan filan Ben burda güzelim Falan falan Ben böyle güzelim Falan filan Ben burda güzelim Falan filan Uyandırma (uyan, uyan,uyan) Uyandırma(uyan,uyan,uyan)",mutlu
Basit,Blent Ortagil,"Basit, Basit, Basit An Basit Zaman Basit Yýllar Geçsin Bak Gör Çok Zor Basit, Basit, Basit Sen Basit Ben Basit Ýkimiz Olalým Bak Gör Çok Zor Basit, Basit, Basit Kalmak Basit Almak Basit Ver Desinler Bak Gör Çok Zor Bir Tek Sen Vardýn Basit Olmayan Yaþanmadýkça Sorulmayan Bir Tek Sen Varsýn Doðrularda Sorun Var Sen Aðlarken Onlar Gülüyorlar Basit, Basit, Basit Doðmak Basit Ölmek Basit Yaþamaya Kalk ve Gör Çok Zor",melankoli
Ben Böyle Aşk Görmedim,Nazan ncel,Havada aşk havası var Kanadı kırık kuş yarası var Bana küsmüş gidiyor gibi Benden uzak bir edası var Acep nedendir Korkma aşktan ölmez insan Korkma ölmez aşktan insan Ben böyle aşk görmedim Ben sebepsiz sevmedim Uyma ellerin tuzaklarına Atma beni uzaklarına Eyvah eyvah eyvah eyvah Aman gecenin leylindeyim Bir ezan sesi böler uykumu Sinende eller yatar Ben asıl bunun derdindeyim,aşk
Sahillere,Gkhan zen,"Ateþinle yak kavur ortalýðý Bir yudumda ak dudaktan kalbime Sýcacýk bir his akar gönlüme seninle Kaçalým gel kýz en tatlý düþlere Kaçalým gel seninle sahillere... Sahillere, sahillere ... Sen bu sahilin en güzeli Sen bu kalbimin en özeli Aþkýsýnýn da nazar boncuðu Gel sarýl boynuma Bu iþin sonu belli",mutlu
Özletme Beni,Ajda Pekkan,Bir darýldým bir sarýldým sana ben Bazen güldüm bazen öldüm sana ben Neden böyle güzelsin Her gün aþýk olurum sana ben yeniden Koþa koþa geldim sana Özletme beni Bir orada bi burada Bekletme beni Hadi hadi durma bana gel Alem kýskansýn Deli divane olmuþ bu gönül Aþkýnla yansýn Söz : Ülkü Aker,mutlu
Söz,Ajda Pekkan,Tutmuyor yerini hiçbir şey Bir daha toplamıyor kaybeden Bıkmıyor dönüyor dünya İşi bu sormuyor bile Neden!! Dayandı kapılarıma aşk Yıktı indirdi duvarlarımı Ama geldiği gibi çekip gitti Beğenmedi kurallarımı Geç kalanlar yarışında en ön saflardayım Tanrı bile kabul etmiyor dualarımı Gözümün yaşına bile bakma memnunum ben halimden Bu acıyı çektirmeden bırakmaz yakamı içimdeki göz İnanırsam yıkanıp yunduğuma samimiyetle birgün O zaman dönebilirim başa yeniden tertemiz söz!!! Atladım ateş çemberlerinden Sınandım mucizesiyle aşkın Hiç farklı değildim diğerlerinden Yanılma herkes gibi şaşkın Dayandı kapılarıma aşk Yıktı indirdi duvarlarımı Ama geldiği gibi çekip gitti Beğenmedi kurallarımı Geç kalanlar yarışında en ön saflardayım Tanrı bile kabul etmiyor dualarımı Gözümün yaşına bile bakma memnunum ben halimden Bu acıyı çektirmeden bırakmaz yakamı içimdeki göz İnanırsam yıkanıp yunduğuma samimiyetle birgün O zaman dönebilirim başa yeniden tertemiz söz!!!,üzgün
Umrumda Değil,Candan Eretin,İnsaf bu kadar eziyet kim çeker Her lafı her sözü ayrı keder Özrü kabahatinden de beter Sor boş duvarlara Boş kollarına Neden bu elveda Sev ister mutlu ol İstersen delir Umrumda değil Didindim ah yola gelir mi diye yıllarca Canımdan bezdim ağzını Her açtığında Bakınca maziye hak ettim bunu galiba Gözün aydın bende Delirdim bak en sonunda Kapıma dayanma sakın Yakarım inan yakarım Rezil olur ele güne Aldırmadan hiç kimseye Yaka paça seni atarım,üzgün
İstanbulda Sonbahar,Teoman,"[1. Bölüm] Mevsim rüzgarları ne zaman eserse O zaman hatırlarım çocukluk rüyalarım Şeytan uçurtmalarım Öper beni annem yanaklarımdan Güzel bir rüyada sanki sevdiklerim Hayattalarken hâlâ [Nakarat] Akşama doğru azalırsa yağmur Kız Kulesi ve Adalar Ah, burda olsan çok güzel hâlâ İstanbul’da sonbahar [2. Bölüm] Her zaman kolay değil Sevmeden sevişmek, tanımak bir vücudu Yavaşça öğrenmek, alışmak ve kaybetmek İstanbul bugün yorgun, üzgün ve yaşlanmış Biraz kilo almış ağlamış yine Rimelleri akıyor [Nakarat] Akşama doğru azalırsa yağmur Kız Kulesi ve Adalar Ah, burda olsan çok güzel hâlâ İstanbul'da, sonbahar [Final] Akşama doğru azalırsa yağmur Kız Kulesi ve Adalar Ah, burda olsan çok güzel hâlâ İstanbul'da sonbahar",melankoli
